sentence,ground_truth_control,baseline_control,rag_control,ground_truth_applicable,baseline_applicable,rag_applicable,ground_truth_status,baseline_status,rag_status,baseline_time,rag_time,baseline_raw,rag_raw,retrieved_controls,retrieval_scores
Tidak ada prosedur backup yang terdokumentasi dan pemulihan data tidak pernah diuji.,A.8.13,A.7.1,A.8.13,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,25.05,42.17,"{""control_id"": ""A.7.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Tidak ada prosedur backup yang terdokumentasi dan pemulihan data tidak pernah diuji menunjukkan bahwa organisasi belum memiliki kontrol untuk mengelola risiko berakibat fatal seperti kerusakan sistem informasi akibat kehilangan atau akses data palsu."", ""recommendation"": ""Implementasikan prosedur backup yang terdokumentasi dan lakukan uji pemulihan secara berkala.""}","{""control_id"": ""A.8.13"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Tidak ada dokumen tentang prosedur backup dan pemulihan data tidak pernah diuji."", ""recommendation"": ""Terapkan prosedur backup yang terdokumentasi dan lakukan uji pemulihan secara berkala.""}",A.8.13;A.7.14;A.8.33,0.4411;0.3086;0.2962
Arsitektur high availability dengan failover otomatis diterapkan untuk semua layanan kritis.,A.8.14,A.8.21,A.8.9,Yes,Yes,Yes,Implemented,Implemented,Implemented,35.40,51.62,"{
  ""control_id"": ""A.8.21"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit merujuk pada arsitektur high availability dan failover otomatis yang diterapkan untuk layanan kritis, sesuai dengan kontrol A.8.21 (Arsitektur dan Teknologi Pengiriman Data) dari ISO 27001:2022."",
  ""recommendation"": ""Jika belum dilakukan, rekomendasikan melakukan evaluasi arsitektur data untuk memastikan bahwa high availability dan failover otomatis telah diterapkan secara efektif.""
}","{
  ""control_id"": ""A.8.9"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Arsitektur high availability dengan failover otomatis telah diterapkan, yang mencakup konfigurasi keamanan perangkat keras dan perangkat lunak."",
  ""recommendation"": ""Tidak ada rekomendasi tambahan.""
}",A.8.9;A.8.14;A.5.30,0.4091;0.4062;0.3876
Arsitektur high availability dengan failover otomatis diterapkan untuk semua layanan kritis.,A.8.14,A.8.16,A.8.9,Yes,Yes,Yes,Implemented,Implemented,Implemented,40.14,45.35,"{""control_id"": ""A.8.16"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Arsitektur high availability dengan failover otomatis memenuhi persyaratan ISO 27001 untuk kontrol A.8.16 yang berkaitan dengan pengaturan dan konfigurasi layanan kritis."", ""recommendation"": ""Jika arsitek tersebut belum melakukan peninjauan ulang arsitektur high availability, maka disarankan untuk dilakukan.""}","{""control_id"": ""A.8.9"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Arsitektur high availability dengan failover otomatis merupakan konfigurasi keamanan yang penting untuk mempertahankan ketersediaan sistem informasinya."", ""recommendation"": """"}",A.8.9;A.8.14;A.5.30,0.4091;0.4062;0.3876
Sistem SIEM terpusat mencatat dan menganalisis log dari semua sistem kritis secara real-time.,A.8.15,A.8.15,A.8.15,Yes,Yes,Yes,Implemented,Implemented,Implemented,26.65,48.37,"{""control_id"": ""A.8.15"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Sistem SIEM yang terpusat dan real-time sesuai dengan kontrol A.8.15 (Pemantauan dan analisis sistem informasi secara real-time)"", ""recommendation"": ""Jika diperlukan, mengoptimalkan integrasi SIEM dengan sistem lain untuk meningkatkan efisiensi monitoring dan respons.""}","{""control_id"": ""A.8.15"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Sistem SIEM memenuhi kebutuhan pencatatan log yang disebutkan dalam kontrol ISO 27001."", ""recommendation"": ""Tidak ada rekomendasi perbaikan diperlukan karena sistem sudah berfungsi sesuai dengan kontrol.""}",A.5.37;A.8.15;A.8.17,0.5325;0.5198;0.5161
Sistem SIEM terpusat mencatat dan menganalisis log dari semua sistem kritis secara real-time.,A.8.15,A.8.15,A.8.15,Yes,Yes,Yes,Implemented,Implemented,Implemented,30.90,47.13,"{
  ""control_id"": ""A.8.15"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Sistem SIEM yang terpusat menunjukkan pengelolaan log secara efektif dan real-time sesuai dengan kebijakan konfigurasi."",
  ""recommendation"": ""Tidak ada perbaikan diperlukan karena sistem sudah beroperasi dengan baik.""
}","{""control_id"": ""A.8.15"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Sistem SIEM yang mencatat dan menganalisis log merupakan komponen penting untuk memenuhi kebijakan A.8.15, yaitu pencatatan log."", ""recommendation"": ""Dapatkan sumber waktu referensi yang disetujui bagi sistem SIEM.""}",A.5.37;A.8.15;A.8.17,0.5325;0.5198;0.5161
Log sistem tidak dikumpulkan secara terpusat dan tidak ada analisis rutin terhadap log keamanan.,A.8.15,A.8.24,A.8.15,Yes,Yes,Yes,Not Implemented,Not Implemented,Partially Implemented,29.21,56.25,"{
  ""control_id"": ""A.8.24"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Kondisi ini berada di luar kontrol A.8, yang fokus pada monitoring dan analisis keamanan sistem."",
  ""recommendation"": ""Implementasikan kontrol A.8 untuk memonitoring dan melakukan analisis rutin terhadap log keamanan.""
}","{""control_id"": ""A.8.15"", ""applicable"": ""Yes"", ""implementation_status"": ""Partially Implemented"", ""justification"": ""Log sistem yang disimpan dan dianalisis tidak terpusat, menghindari integritas dan keakuratan data log."", ""recommendation"": ""Menerapkan prosedur operasional untuk penyimpanan dan analisis terpusat serta dilakukan secara rutin.""}",A.8.15;A.8.10;A.5.37,0.4955;0.2947;0.2872
Log sistem tidak dikumpulkan secara terpusat dan tidak ada analisis rutin terhadap log keamanan.,A.8.15,A.7.3,A.8.15,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,34.86,54.03,"{""control_id"": ""A.7.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Log sistem yang dikumpulkan secara terpusat dan dilakukan analisis rutin merupakan langkah penting untuk mengidentifikasi potensi akses tidak sah atau keamanan lain yang berpotensi rusak. Pengumpulan log hanya secara terpusat belum mencakup semua aspek sistem yang perlu diaudit."", ""recommendation"": ""Implementasikan proses pengumpulan dan analisis rutin pada log keamanan untuk memastikan integritas data dan efektivitas akses kontrol.""}","{""control_id"": ""A.8.15"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Log sistem tidak dikumpulkan secara terpusat dan tidak ada analisis rutin, menurut temuan audit."", ""recommendation"": ""Implementasikan prosedur untuk mengumpulkan log sistem secara terpusat dan melakukan analisis rutin terhadap log keamanan.""}",A.8.15;A.8.10;A.5.37,0.4955;0.2947;0.2872
IDS/IPS dan SIEM digunakan untuk memantau jaringan dan mendeteksi perilaku anomali secara real-time.,A.8.16,A.8.2,A.8.16,Yes,Yes,Yes,Implemented,Implemented,Implemented,45.38,72.03,"{
  ""control_id"": ""A.8.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit tersebut mengacu pada penggunaan IDS/IPS dan SIEM untuk monitoring jaringan secara real-time, yang sesuai dengan kontrol ISO 27001 Annex A.8.2 tentang 'Pengaturan sistem pencegahan intervensi jaringan (IDS) atau sistem peringatan intruder (IPS).'"",
  ""recommendation"": ""Jika belum dilaksanakan, lakukan implementasi penggunaan IDS/IPS dan SIEM untuk memantau jaringan secara real-time.""
}","{""control_id"": ""A.8.16"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menggambarkan penggunaan IDS/IPS dan SIEM untuk memantau jaringan secara real-time, yang relevan dengan kontrol A.8.16 tentang aktivitas pemantauan."", ""recommendation"": ""Kontrol sudah dilakukan dalam status 'Implemented', tetapi dapat ditingkatkan dengan mengimplementasikan sistem keamanan lain atau memperdalam analisis data.""}",A.8.16;A.8.21;A.7.4,0.6194;0.4254;0.4025
IDS/IPS dan SIEM digunakan untuk memantau jaringan dan mendeteksi perilaku anomali secara real-time.,A.8.16,A.8.16,A.8.16,Yes,Yes,Yes,Implemented,Implemented,Implemented,53.84,58.42,"{
  ""control_id"": ""A.8.16"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit menyebutkan bahwa IDS/IPS dan SIEM digunakan untuk memantau jaringan secara real-time, yang sesuai dengan kontrol A.8.16 (Pembuatan dan penggunaan Sistem Informasi Keamanan Jaringan). Ini penting untuk mencegah peretasan dan gangguan lainnya."",
  ""recommendation"": ""Periksa lagi apakah seluruh jaringan telah terintegrasi dengan sistem informasi keamanan jaringan tersebut.""
}","{""control_id"": ""A.8.16"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""IDS/IPS, SIEM, dan SIEM digunakan untuk memantau jaringan secara real-time dan mendeteksi perilaku anomali."", ""recommendation"": """"}",A.8.16;A.8.21;A.7.4,0.6194;0.4254;0.4025
Semua server disinkronisasi waktunya menggunakan NTP ke sumber referensi yang sama.,A.8.17,FAIL,A.8.17,Yes,FAIL,Yes,Implemented,FAIL,Implemented,31.05,48.40,"{""control_id"": ""A.7.16"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kondisi ini menjamin integritas dan akurasi waktu pada server, sesuai dengan kontrol A.7.16 yang berhubungan dengan pengelolaan fungsional fisik.""},
{""recommendation"": ""Tinjau kembali kebijakan dan prosedur untuk memastikan terus-menerus disinkronisasi waktunya.""}","{""control_id"": ""A.8.17"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Server telah disinkronisasikan dengan NTP ke sumber waktu referensi yang disetujui."", ""recommendation"": """"}",A.8.17;A.5.30;A.8.14,0.6816;0.3167;0.3144
Semua server disinkronisasi waktunya menggunakan NTP ke sumber referensi yang sama.,A.8.17,A.7.6,A.8.17,Yes,Yes,Yes,Implemented,Implemented,Implemented,35.68,44.74,"{""control_id"": ""A.7.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol A.7.6 mengatur pengelolaan dan pengujian sistem fisik, termasuk synchronisasi waktu server yang penting untuk keamanan informasi."", ""recommendation"": ""Jalankan pengecekan secara berkala terhadap keberlanjutan synchronisasi waktu server.""}","{""control_id"": ""A.8.17"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Semua server disinkronisasi dengan tepat menggunakan NTP ke sumber referensi yang sama, sesuai dengan persyaratan A.8.17."", ""recommendation"": ""Tidak ada perbaikan diperlukan.""}",A.8.17;A.5.30;A.8.14,0.6816;0.3167;0.3144
Akses ke program utilitas istimewa dibatasi dan semua penggunaan dicatat untuk audit.,A.8.18,A.7.3,A.8.18,Yes,Yes,Yes,Implemented,Implemented,Implemented,32.25,59.18,"{""control_id"": ""A.7.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol ini mengatur pembatasan akses terhadap program utilitas istimewa dan pencatatan penggunaannya, yang sesuai dengan kondisi audit."", ""recommendation"": ""Tindak lanjutkan untuk memastikan bahwa prosedur pencatatan tetap efektif dan semua penggunaan telah dicatat.""}","{""control_id"": ""A.8.18"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol ini menangkap pembatasan dan kendali atas penggunaan program utilitas yang mungkin dapat melewati pengendalian sistem dan aplikasi."", ""recommendation"": ""Jika belum dilaksanakan, implementasikan prosedur untuk pembatasan dan kelimanan penggunaan program utilitas istimewa.""}",A.8.2;A.8.3;A.8.18,0.6223;0.6131;0.6104
Akses ke program utilitas istimewa dibatasi dan semua penggunaan dicatat untuk audit.,A.8.18,A.7.5,A.8.18,Yes,Yes,Yes,Implemented,Partially Implemented,Implemented,39.08,57.44,"{""control_id"": ""A.7.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Partially Implemented"", ""justification"": ""Kontrol ini terkait dengan keamanan fisik dan penggunaan program utilitas, tetapi belum mencakup semua detail audit yang diperlukan dalam dokumen tersebut."", ""recommendation"": ""Perbaiki catatan penggunaan untuk semua aplikasi utilitas dan buat prosedur formal untuk memvalidasi akses dan penggunaan.""}","{""control_id"": ""A.8.18"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol ini mengatur pengendalian terhadap program utilitas yang dapat melewati sistem dan aplikasi. Audit menyebutkan bahwa akses dibatasi dan semua penggunaan dicatat."", ""recommendation"": ""Jika masih ada kesempatan, lakukan evaluasi lebih lanjut untuk memastikan kepatuhan dengan batasan penggunaan program utilitas.""}",A.8.2;A.8.3;A.8.18,0.6223;0.6131;0.6104
Kebijakan whitelist perangkat lunak diterapkan dan instalasi hanya boleh oleh tim TI yang berwenang.,A.8.19,A.5.1,A.8.19,Yes,Yes,Yes,Implemented,Implemented,Implemented,22.69,39.31,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan tersebut secara spesifik mendefinisikan kebijakan whitelist yang penting untuk mengontrol instalasi perangkat lunak dan hanya dapat dilakukan oleh tim TI berwenang."",
  ""recommendation"": ""Bisa diterapkan lebih ketat dengan melakukan verifikasi independen instalasi perangkat lunak melalui sistem log atau kontrol lainnya.""
}","{""control_id"": ""A.8.19"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan whitelist perangkat lunak mengikuti A.8.19 dengan menjaga instalasi hanya oleh tim TI yang berwenang."", ""recommendation"": """"}",A.8.19;A.8.18;A.8.26,0.5342;0.4697;0.4197
Arsitektur jaringan menggunakan segmentasi dengan firewall dan IDS/IPS di setiap zona keamanan.,A.8.20,A.7.1,A.8.22,Yes,Yes,Yes,Implemented,Implemented,Implemented,33.30,46.94,"{""control_id"": ""A.7.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Arsitektur jaringan yang menggunakan segmentasi dengan firewall dan IDS/IPS di setiap zona keamanan sesuai dengan kontrol A.7.1, yaitu mengimplementasikan arsitektur jaringan untuk memisahkan data berdasarkan level risiko dan pengaturan firewall yang efektif."", ""recommendation"": ""Periksa lagi apakah semua zona keamanan telah diberi firewall dan IDS/IPS dan inspeksi kembali arsitektur jaringannya.""}","{""control_id"": ""A.8.22"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Penjelasan singkat mengenai pemisahan jaringan menggunakan firewall dan IDS/IPS yang terstruktur dengan arsitektur jaringan."", ""recommendation"": ""Tidak ada perbaikan diperlukan, implementasi telah dilakukan sesuai dengan kontrol.""}",A.8.22;A.8.20;A.8.21,0.6425;0.6135;0.5873
Jaringan kantor tidak memiliki firewall dan semua perangkat berada dalam satu segmen yang sama.,A.8.20,A.7.3,A.8.20,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,25.33,43.48,"{""control_id"": ""A.7.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kendala teknis atau biaya dapat menjadi alasan tidak memasang firewall pada jaringan kantor, yang berpotensi mengarah ke akses tidak terkontrol untuk perangkat-perangkat tersebut."", ""recommendation"": ""Penerapan firewall pada jaringan dan segmentasi perangkat adalah dianjurkan agar memenuhi standar keamanan ISO 27001.""}","{""control_id"": ""A.8.20"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki firewall untuk keamanan jaringan dan semua perangkat berada dalam satu segmen yang sama, mengabaikan pengendalian keamanan jaringan seperti A.8.20."", ""recommendation"": ""Implementasikan firewall untuk melindungi jaringan dan kabel dari intersepsi, gangguan, dan kerusakan.""}",A.8.20;A.7.11;A.7.12,0.3440;0.3424;0.3088
Jaringan kantor tidak memiliki firewall dan semua perangkat berada dalam satu segmen yang sama.,A.8.20,A.7.4,A.8.20,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,42.58,50.42,"{
  ""control_id"": ""A.7.4"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Kebijakan dan proses manajemen keamanan informasi tidak mencakup pemeliharaan firewall yang penting untuk mencegah akses ilegal."",
  ""recommendation"": ""Implementasikan firewall untuk mengontrol masuk keluar pada jaringan perusahaan.""
}","{
  ""control_id"": ""A.8.20"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Kendala keamanan jaringan mencakup perlindungan dari intersepsi, gangguan, dan kerusakan kabel. Kondisi di mana tidak ada firewall menunjukkan kelalaian dalam mengimplementasikan pengendalian tersebut."",
  ""recommendation"": ""Implementasikan sistem firewall untuk melindungi jaringan dan memeriksa validitas implementasi.""
}",A.8.20;A.7.11;A.7.12,0.3440;0.3424;0.3088
SLA keamanan ditetapkan untuk semua layanan jaringan dan kepatuhan penyedia dipantau secara berkala.,A.8.21,A.5.1,FAIL,Yes,Yes,FAIL,Implemented,Implemented,FAIL,36.30,84.03,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""SLA (Service Level Agreement) yang ditetapkan untuk semua layanan jaringan menunjukkan komitmen terhadap pengelolaan keamanan dan penerapan standar tersebut."", ""recommendation"": ""Pastikan SLA ini dikelola dengan baik dan dilaksanakan oleh seluruh departemen yang berkaitan.""}","{""control_id"": ""A.8.21"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat menyebutkan bahwa SLA keamanan telah ditetapkan untuk semua layanan jaringan dan kepatuhan penyedia dipantau secara berkala, yang mencerminkan pengelolaan manajemen layanan (MNS) yang sesuai dengan kontrol A.8.21.""}",A.8.21;A.8.20;A.7.4,0.6744;0.5258;0.5058
Jaringan dipisahkan menggunakan VLAN dan firewall berdasarkan klasifikasi data dan fungsi bisnis.,A.8.22,FAIL,A.8.21,Yes,FAIL,Yes,Implemented,FAIL,Implemented,0.00,101.15,ERROR: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,"{""control_id"": ""A.8.21"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit mendesriplukan kebijakan penggunaan VLAN dan firewall berdasarkan klasifikasi data dan fungsi bisnis, yang sesuai dengan A.8.21 untuk memastikan bahwa mekanisme keamanan, tingkat layanan, dan persyaratan layanan jaringan telah diidentifikasi, diterapkan, dan dipantau."", ""recommendation"": ""Dapat direkomendasikan untuk melakukan review dan perbaikan pada dokumentasi mekanisme keamanan, mengkonfirmasi bahwa semua fungsi bisnis dan klasifikasi data telah disesuaikan dengan layanan jaringan yang relevan.""}",A.8.22;A.8.21;A.8.20,0.5907;0.5213;0.4891
SLA keamanan ditetapkan untuk semua layanan jaringan dan kepatuhan penyedia dipantau secara berkala.,A.8.21,FAIL,A.8.21,Yes,FAIL,Yes,Implemented,FAIL,Implemented,0.00,147.85,ERROR: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate,"{""control_id"": ""A.8.21"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menyatakan bahwa SLA keamanan ditetapkan untuk semua layanan jaringan dan kepatuhan penyedia dipantau secara berkala, yang relevan dengan A.8.21."", ""recommendation"": ""Jika belum dilakukan, implementasikan mekanisme pengawasan terhadap kelinieran SLA tersebut.""}",A.8.21;A.8.20;A.7.4,0.6744;0.5258;0.5058
Solusi penyaringan web memblokir situs berbahaya dan memantau penggunaan internet secara terpusat.,A.8.23,A.8.2,A.8.23,Yes,Yes,Yes,Implemented,Implemented,Implemented,72.07,59.59,"{
  ""control_id"": ""A.8.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Solusi penyaringan web tersebut menunjukkan bahwa organisasi telah mengimplementasikan kontrol yang relevan untuk memantau dan mencegah akses ke situs berbahaya."",
  ""recommendation"": ""Oleh karena itu, tidak ada perbaikan yang diperlukan dalam hal implementasi kontrol ini.""
}","{""control_id"": ""A.8.23"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Penyaringan web digunakan untuk mencegah akses ke konten berbahaya dan memantau penggunaan internet secara terpusat, sesuai dengan A.8.23."", ""recommendation"": """"}",A.8.23;A.8.12;A.8.20,0.8152;0.6388;0.5994
Jaringan dipisahkan menggunakan VLAN dan firewall berdasarkan klasifikasi data dan fungsi bisnis.,A.8.22,A.7.1,A.8.22,Yes,Yes,Yes,Implemented,Implemented,Implemented,43.41,85.93,"{
  ""control_id"": ""A.7.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit menggambarkan implementasi VLAN untuk memisahkan jaringan dan firewall berdasarkan klasifikasi data, yang sesuai dengan kontrol A.7.1 (Pemisahan Jaringan)"",
  ""recommendation"": ""VLAN dan firewall terus diperbarui dan dikonfigurasi secara berkala untuk menjaga keamanannya.""
}","{""control_id"": ""A.8.22"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""VLAN dan firewall telah digunakan untuk memisahkan jaringan berdasarkan klasifikasi data dan fungsi bisnis, menjadikannya kontrol A.8.22 yang sesuai."", ""recommendation"": ""Tidak ada perbaikan diperlukan karena implementasi sudah mencakup semua aspek kontrol ini.""}",A.8.22;A.8.21;A.8.20,0.5907;0.5213;0.4891
Enkripsi AES-256 diterapkan untuk data at rest dan TLS 1.3 untuk data in transit di semua sistem.,A.8.24,A.8.4,A.8.5,Yes,Yes,Yes,Implemented,Implemented,Implemented,64.56,71.61,"{""control_id"": ""A.8.4"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat ini menggambarkan implementasi keamanan data, yang sesuai dengan kontrol A.8.4 (Enkripsi dan Dekripsi) dalam ISO 27001."", ""recommendation"": ""Tidak ada perbaikan diperlukan karena kontrol sudah terpenuhi.""}","{""control_id"": ""A.8.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Enkripsi AES-256 digunakan untuk data at rest dan TLS 1.3 digunakan untuk data in transit, sesuai dengan kebijakan pengendalian akses dan pembatasan akses informasi."", ""recommendation"": ""Berdasarkan temuan audit ini, sistem perlu ditinjau kembali untuk memastikan bahwa semua teknologi dan prosedur autentikasi yang aman telah diterapkan dengan benar.""}",A.8.5;A.7.14;A.8.28,0.4997;0.4809;0.4608
Solusi penyaringan web memblokir situs berbahaya dan memantau penggunaan internet secara terpusat.,A.8.23,A.8.2,A.8.23,Yes,Yes,Yes,Implemented,Implemented,Implemented,40.90,85.92,"{""control_id"": ""A.8.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Solusi penyaringan web menangani kebijakan dan implementasi teknis yang relevan dengan kontrol A.8.2 (Tools dan alat untuk pengelolaan internet)."", ""recommendation"": ""Bisa ditingkatkan dengan pelatihan lebih lanjut terkait pemantauan dan penanganan situs berbahaya.""}","{""control_id"": ""A.8.23"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Solusi penyaringan web digunakan untuk melindungi dari akses ke situs berbahaya dan memantau penggunaan internet secara terpusat, sesuai dengan kebijakan A.8.23."", ""recommendation"": """"}",A.8.23;A.8.12;A.8.20,0.8152;0.6388;0.5994
Enkripsi AES-256 diterapkan untuk data at rest dan TLS 1.3 untuk data in transit di semua sistem.,A.8.24,A.8.19,A.8.5,Yes,Yes,Yes,Implemented,Implemented,Implemented,22.47,57.27,"{
  ""control_id"": ""A.8.19"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Enkripsi AES-256 dan TLS 1.3 menangkap persyaratan untuk keamanan data at rest dan in transit yang tepat pada kontrol A.8.19."",
  ""recommendation"": ""Mencantumkan enkripsi lebih lanjut atau menggunakan versi TLS lebih baru jika diperlukan.""
}","{""control_id"": ""A.8.5"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Enkripsi AES-256 untuk data at rest dan TLS 1.3 untuk data in transit adalah praktik yang sesuai dengan kebijakan pengendalian akses dan pembatasan akses informasi dalam kontrol A.8.5."", ""recommendation"": """"}",A.8.5;A.7.14;A.8.28,0.4997;0.4809;0.4608
Organisasi tidak menerapkan enkripsi pada data sensitif baik saat disimpan maupun saat ditransmisikan.,A.8.24,A.8.1,A.8.1,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,26.08,39.21,"{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak menerapkan enkripsi pada data sensitif, baik saat disimpan maupun saat ditransmisikan."", ""recommendation"": ""Implementasikan mekanisme enkripsi untuk memastikan bahwa semua data sensitif disimpan dan dikirim dengan aman.""}","{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak menerapkan enkripsi pada data sensitif, baik saat disimpan maupun saat ditransmisikan."", ""recommendation"": ""Implementasikan kebijakan dan prosedur untuk melakukan enkripsi data sensitif dengan menggunakan protokol yang tepat.""}",A.6.6;A.8.5;A.8.11,0.6088;0.6061;0.6043
Praktik SDLC aman diterapkan termasuk threat modeling dan code review keamanan di setiap fase.,A.8.25,A.5.1,A.8.25,Yes,Yes,Yes,Implemented,Implemented,Implemented,18.58,43.85,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Penerapan praktik SDLC yang berisi proses threat modeling dan code review keamanan menunjukkan bahwa kontrol ini telah diterapkan dengan baik."",
  ""recommendation"": ""Dapat direkomendasikan untuk meneruskan penerapan praktik SDLC tersebut dalam rangkaian audit berikutnya.""
}","{""control_id"": ""A.8.25"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol A.8.25 mencakup aturan untuk pengembangan perangkat lunak dan sistem yang aman dalam siklus hidup pengembangan, yang sesuai dengan kalimat audit yang menyebutkan praktek SDLC aman termasuk threat modeling dan code review keamanan di setiap fase."", ""recommendation"": ""Tidak ada rekomendasi perbaikan diperlukan karena praktik sudah digunakan.""}",A.8.29;A.8.28;A.8.25,0.6453;0.6446;0.6235
Persyaratan keamanan aplikasi didefinisikan berdasarkan OWASP Top 10 dan divalidasi dalam pengujian.,A.8.26,A.5.3,A.8.26,Yes,Yes,Yes,Implemented,Implemented,Implemented,19.85,43.90,"{""control_id"": ""A.5.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Persyaratan keamanan aplikasi yang diatur berdasarkan OWASP Top 10 merupakan persyaratan kontrol ISO 27001:2022 A.5.3 (Perlunya Definisi Persyaratan Kemanan)"", ""recommendation"": ""Tidak ada perbaikan diperlukan, karena persyaratan telah diatur.""}","{""control_id"": ""A.8.26"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Persyaratan keamanan aplikasi telah diidentifikasi berdasarkan OWASP Top 10 dan divalidasi dalam proses pengujian."", ""recommendation"": ""Dokumentasikan lebih lanjut tentang langkah-langkah yang digunakan untuk mengimplementasikan persyaratan keamanan tersebut.""}",A.8.26;A.8.29;A.8.16,0.6925;0.6228;0.5789
